date,description,transactionId,journalEntryId,transaction_type,net_amount_nok,direction,category,expense_accounts,has_reversals
2025-07-15,Overføring av lønn og forskuddstrekk juli 2025,9254926438,9254951147,Lønn,17794.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-07-15,Overføring av lønn og forskuddstrekk juli 2025,9254926438,9254951147,Lønn,6581.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-07-08,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 15065648188 med kid/melding ,9254926514,9254951288,Kjøp,15479.46,Outflow,Personalkostnader,"2400:20024,2711,6795",No
2025-07-09,Betaling av arbeidsgiveravgift,9254991886,9255029497,Betaling av arbeidsgiveravgift,7359.00,Outflow,Personalkostnader,2771,No
2025-07-25,API og OCR - fakturering med KID,9265551706,9265548629,Kjøp,592.50,Outflow,Programvare og datasystemer,"2400:20001,2711,6553",No
2025-07-15,Betaling  (faktura #10063),9216168500,9303003248,Salg,8791.50,Inflow,Income,"1500:10006,2701,3026",No
2025-07-22,Gave Sindre Fjellestad,9303377139,9303387084,Fri,5000.00,Outflow,Personalkostnader,5901,No
2025-07-29,Fra: 9710.62.29957 med KID: 0000100644,9281645430,9332110939,Salg,1107.18,Inflow,Income,"1500:10004,2701,3026",No
2025-08-18,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604903578,9340939420,9340940622,Kjøp,604.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-07-21,Betaling  (faktura #FFFC8E93-0012),9340939445,9340940658,Kjøp,210.34,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-08-01,Se Detaljer i Fakturaoversikt Nettb Juli 2025 for foretak 00934297571,9359836856,9359876406,Bankomkostning,563.25,Outflow,ADK,7770,No
2025-07-08,Betaling,9359836951,9359876554,Kjøp,52.91,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-07-07,Betaling  (faktura #1242-9673),9359837039,9359876702,Kjøp,175.76,Outflow,Programvare og datasystemer,"2400:20025,2702,2712,6553,8160",No
2025-07-07,Betaling  (faktura #20250704245671),9359910087,9359876786,Kjøp,1021.07,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-07-04,Betaling  (faktura #20250703038374),9359910096,9359876802,Kjøp,101.01,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-06-27,Betaling  (faktura #HFFJ71KR-0001),9359910131,9359876867,Kjøp,186.26,Outflow,Programvare og datasystemer,"2400:20026,2702,2712,6553,8160",No
2025-04-07,Betaling  (faktura #20250404156017),9359910197,9359876999,Kjøp,508.79,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8060",No
2025-03-14,overføring til wise konto,9359910229,9359877051,Fri,17483.40,Outflow,ADK,1960:10001,No
2025-07-22,Betaling,9359910288,9359928144,Kjøp,94.65,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-08-14,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 050891233,9364165515,9364148055,Kjøp,358.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-08-15,Overføring av lønn og forskuddstrekk august 2025,9373324418,9373323742,Lønn,21900.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-08-15,Overføring av lønn og forskuddstrekk august 2025,9373324418,9373323742,Lønn,8100.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-08-07,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 15065648188 med kid/melding ,9373324733,9373360292,Kjøp,12824.36,Outflow,Personalkostnader,"2400:20024,2711,6795",No
2025-08-08,Betaling  (faktura #9676DF27-0034),9387237922,9387256959,Kjøp,919.97,Outflow,Programvare og datasystemer,"2400:20027,2702,2712,6553,8160",No
2025-08-04,Betaling  (faktura #5317634670),9387237946,9387257002,Kjøp,375.73,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-08-04,Betaling  (faktura #20250803447347),9387237977,9387257061,Kjøp,107.48,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-08-04,Betaling,9387237999,9387282105,Kjøp,14.09,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-08-05,Betaling  (faktura #20250804957639),9394116483,9394145104,Kjøp,856.84,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-07-08,Betaling,9394472628,9394494382,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-08-11,Betaling,9394472651,9394494409,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-08-12,Betaling  (faktura #10061),9133194293,9409499019,Salg,4740.00,Inflow,Income,"1500:10018,2701,3020",No
2025-09-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604984966,9433856985,9433886747,Kjøp,1512.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-08-20,Betaling  (faktura #10062),9133587769,9439269997,Salg,6204.78,Inflow,Income,"1500:10006,2701,3090",No
2025-08-12,Betaling,9439267585,9439467135,Kjøp,1498.00,Outflow,ADK,"2400:20028,2711,6551",No
2025-06-06,Betaling,9439267770,9439467453,Kjøp,2379.48,Outflow,ADK,"2400:20003,2711,6908",No
2025-06-19,Betaling,9439267798,9439467509,Kjøp,1403.10,Outflow,ADK,"2400:20003,2711,6908",No
2025-06-27,Betaling,9439267859,9439467607,Kjøp,1439.22,Outflow,ADK,"2400:20003,2711,6908",No
2025-07-04,Betaling,9439267913,9439467688,Kjøp,1396.53,Outflow,ADK,"2400:20003,2711,6908",No
2025-07-21,Betaling,9439267937,9439467730,Kjøp,1478.57,Outflow,ADK,"2400:20003,2711,6908",No
2025-07-30,Betaling,9439267950,9439467755,Kjøp,1455.88,Outflow,ADK,"2400:20003,2711,6908",No
2025-08-22,Betaling  (faktura #B1DE1E1A-0027),9454379631,9454395657,Kjøp,94.66,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-08-26,Betaling av merverdiavgift (mva-melding mai-jun 2025),9454379667,9454395813,Mva-oppgjør,16734.00,Outflow,MVA,"2701,2702,2711,2712,2714,2740,7740",No
2025-08-26,Fra: 1822.37.21741 med KID: 0000100669,9397215480,9463582996,Salg,1800.00,Inflow,Income,"1500:10015,2701,3020",No
2025-08-26,Fra: 1503.79.59801 med KID: 0000100677,9397215736,9463582997,Salg,6300.00,Inflow,Income,"1500:10016,2701,3020",No
2025-08-26,Fra: 8220.02.80055 med KID: 0000100685,9397330138,9463582998,Salg,27755.04,Inflow,Income,"1500:10018,2701,3020,3026",No
2025-08-29,Fra: 1506.15.46410 med KID: 0000100651,9372629195,9483273130,Salg,15000.30,Inflow,Income,"1500:10021,2701,3020",No
2025-08-29,Fra: 9710.62.29957 med KID: 0000100693,9409844835,9483273131,Salg,1107.18,Inflow,Income,"1500:10004,2701,3026",No
2025-09-01,Fra: 1080.62.10205 med KID: 0000100701,9439511074,9504117414,Salg,9552.80,Inflow,Income,"1500:10006,2701,3090",No
2025-08-27,Betaling,9513972931,9513998722,Kjøp,685.00,Outflow,ADK,"2400:20030,2711,6551",No
2025-08-11,Betaling,9513972974,9513998784,Kjøp,53.63,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-09-15,Overføring av lønn og forskuddstrekk september 2025,9513973065,9513998940,Lønn,22720.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-09-15,Overføring av lønn og forskuddstrekk september 2025,9513973065,9513998940,Lønn,8100.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-09-03,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 15065648188 med kid/melding ,9514030304,9514040321,Kjøp,15708.31,Outflow,Personalkostnader,"2400:20024,2711,6795",No
2025-09-02,Se Detaljer i Fakturaoversikt Nettb August 2025 for foretak 00934297571,9519018566,9519047072,Bankomkostning,361.75,Outflow,ADK,7770,No
2025-09-02,Betaling  (faktura #82512620),9519018588,9519047108,Kjøp,15.25,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-09-02,Betaling  (faktura #5348485779),9519018606,9519047135,Kjøp,389.47,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-09-12,Betaling  (faktura #5119407),9525018206,9525015330,Kjøp,1134.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-09-11,Fra: 2367.15.25450 med KID: 0000100727,9473089496,9576898989,Salg,11388.00,Inflow,Income,"1500:10011,3026",No
2025-09-18,Betaling av arbeidsgiveravgift,9587620208,9587628157,Betaling av arbeidsgiveravgift,8055.00,Outflow,Personalkostnader,2771,No
2025-09-08,Betaling,9587620238,9587628205,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-09-05,Betaling  (faktura #20250904065096),9587620245,9587628217,Kjøp,831.70,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-10-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790605059826,9612910110,9612900378,Kjøp,1801.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-10-06,"Månedsabonnement Fiken, API, Bankintegrasjon, OCR - fakturering med KID, Lønn (inkl 1 ansatt) mm.",9616706181,9616655949,Kjøp,4008.75,Outflow,Programvare og datasystemer,"2400:20001,2711,6553",No
2025-09-22,Fra: 1506.15.46410 med KID: 0000100735,9538336142,9634563630,Salg,15000.30,Inflow,Income,"1500:10021,2701,3020",No
2025-09-29,Fra: 9710.62.29957 med KID: 0000100743,9592689491,10596085294,Salg,1107.18,Inflow,Income,"1500:10004,2701,3026",No
2025-10-01,Se Detaljer i Fakturaoversikt Nettb September 2025 for foretak 00934297571,10626750775,10626760714,Bankomkostning,361.00,Outflow,ADK,7770,No
2025-09-04,Betaling  (faktura #20250903254407),10627537530,10627563372,Kjøp,104.40,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-09-05,Betaling,10627537799,10627563805,Kjøp,7680.60,Outflow,Programvare og datasystemer,"2400:20031,2711,6553",No
2025-09-29,Betaling,10627537928,10627564022,Kjøp,198.84,Outflow,Programvare og datasystemer,"2400:20032,2711,6420",No
2025-10-02,Betaling  (faktura #5372098204),10627537942,10627564046,Kjøp,388.55,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-10-02,Betaling  (faktura #83278844),10627537955,10627612071,Kjøp,40.70,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-08-21,Betaling  (faktura #FFFC8E93-0015),10627537982,10627612116,Kjøp,209.81,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-10-14,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 051341709,10627538001,10627612159,Kjøp,265.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-09-08,Betaling,10627623097,10627612298,Kjøp,52.83,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-09-01,Betaling,10627623343,10627612693,Kjøp,5575.38,Outflow,Programvare og datasystemer,"2400:20033,2711,6553",No
2025-09-22,Betaling  (faktura #B1DE1E1A-0029),10627623360,10627612725,Kjøp,91.53,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-08-08,Betaling,10627623689,10627651278,Kjøp,1580.81,Outflow,ADK,"2400:20003,2711,6908",No
2025-08-11,Betaling,10627623718,10627651326,Kjøp,1538.66,Outflow,ADK,"2400:20003,2711,6908",No
2025-08-18,Betaling,10627623826,10627651514,Kjøp,1473.35,Outflow,ADK,"2400:20003,2711,6908",No
2025-08-22,Betaling,10627623852,10627651559,Kjøp,1419.67,Outflow,ADK,"2400:20003,2711,6908",No
2025-08-18,Betaling,10627697001,10627747443,Kjøp,224.51,Outflow,Programvare og datasystemer,"2400:20034,2702,2712,6553,8160",No
2025-09-22,Betaling  (faktura #FFFC8E93-0016),10627697033,10627747497,Kjøp,203.41,Outflow,Programvare og datasystemer,"2400:20034,2702,2712,6553,8160",No
2025-09-17,Betaling,10627697045,10627747517,Kjøp,218.14,Outflow,Programvare og datasystemer,"2400:20034,2702,2712,6553,8160",No
2025-10-06,Overføring av lønn og forskuddstrekk oktober 2025,10627774104,10627747634,Lønn,21900.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-10-06,Overføring av lønn og forskuddstrekk oktober 2025,10627774104,10627747634,Lønn,8100.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2941,5001,5092,5401,5405,7740",No
2025-10-06,Betaling av merverdiavgift (mva-melding jul-aug 2025),10627774124,10627747660,Mva-oppgjør,10832.00,Outflow,MVA,"2701,2702,2711,2712,2740,7740",No
2025-09-08,Betaling,10640784870,10640839221,Kjøp,2461.83,Outflow,ADK,"2400:20003,2711,6908",No
2025-09-22,Betaling,10640784962,10640839357,Kjøp,1374.69,Outflow,ADK,"2400:20003,2711,6908",No
2025-09-05,Betaling,10640785014,10640839438,Kjøp,299.69,Outflow,Programvare og datasystemer,"2400:20035,2702,2712,6553,8160",No
2025-10-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60030674564 med kid/melding 84520337134,10662718129,10662704376,Kjøp,3491.00,Outflow,ADK,"2400:20008,7500",No
2025-10-13,Fra: 1813.06.83343 med KID: 0000100750,10588134132,10692584452,Salg,7200.00,Inflow,Income,"1500:10009,2701,3026",No
2025-10-14,Fra: 1080.62.10205 med KID: 0000100768,10606873172,10699059980,Salg,8791.50,Inflow,Income,"1500:10006,2701,3026",No
2025-10-14,Fra: 1080.62.10205 med KID: 0000100776,10640861474,10699059981,Salg,9849.02,Inflow,Income,"1500:10006,2701,3090",No
2025-10-31,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 15065648188 med kid/melding ,10714189433,10714204374,Kjøp,19512.06,Outflow,Personalkostnader,"2400:20024,2711,6795",No
2025-10-06,Betaling  (faktura #20251004777775),10714529141,10714520460,Kjøp,34783.25,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-10-16,Betaling  (faktura #3NAEIG1I-0001),10714529254,10714520625,Kjøp,155.94,Outflow,Programvare og datasystemer,"2400:20036,2702,2712,6553,8160",No
2025-10-06,Betaling  (faktura #JAQTYPH9-0002),10714529302,10714520693,Kjøp,296.68,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-10-08,"Kjøp, kontant: Epost-emne: Fwd: Bekreftelse: Vi har mottatt betalingen for Fotoplan (20 GB)",10714529315,10714520709,Kjøp,130.00,Outflow,Programvare og datasystemer,"2711,6553",No
2025-10-06,Betaling  (faktura #75535388),10714529660,10714557260,Kjøp,2429.71,Outflow,Programvare og datasystemer,"2400:20037,2702,2712,6553,8160",No
2025-10-06,Betaling  (faktura #20251004777775),10728972319,10728986178,Kjøp,34783.25,Outflow,Programvare og datasystemer,"2400:20024,2702,2712,6553,8160",No
2025-10-22,Fra: 1506.01.35204 med KID: 0000100792,10657810297,10738129722,Salg,4329.00,Inflow,Income,"1500:10002,2701,3020",No
2025-10-22,Fra: 1822.37.21741 med KID: 0000100800,10657888936,10738129723,Salg,1455.00,Inflow,Income,"1500:10015,2701,3020",No
2025-10-22,Fra: 3000.15.27955 med KID: 0000100818,10658120418,10738129724,Salg,12851.00,Inflow,Income,"1500:10007,2701,3020,3090",No
2025-10-22,Fra: 3000.15.27955 med KID: 0000100826,10658121068,10738129725,Salg,1875.00,Inflow,Income,"1500:10007,2701,3026",No
2025-11-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790605148207,10740831230,10740805618,Kjøp,1799.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-10-23,Fra: 1506.15.46410 med KID: 0000100784,10645070401,10742844786,Salg,15000.30,Inflow,Income,"1500:10021,2701,3020",No
2025-09-11,"Kjøp, kontant: Programvare kjøp fra Open AI. Jeg har ikke kvitteringen. Benyttet valutakurs 9,9375 for 2025-09-11.",10747112417,10747105830,Kjøp,51.10,Outflow,MVA,"2702,2712,6553,8160",No
2025-10-06,Betaling  (faktura #20251004777775),10747859061,10747901286,Kjøp,34783.25,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
